មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
ជាតិនិយម,"[ciet niʔyum] [[ជាតិ]] [[និយម]] <br>1). nationalism "
ធាក់ប្រមុញ,"[tʰeak prɑmoɲ] [[ធាក់]] [[ប្រមុញ]] <br>1). to kick hard and repeatedly
គូភាគី,"[kuu pʰiekii] [[គូ]] [[ភាគី]] <br>1). parties (concerned);<br> opponents
ព្រះឥន្ទ,"[preah ʔen] [[ព្រះ]] [[ឥន្ទ]] <br>1). Indra See: ព្រះឥន្ទ្រ "
ញឹកអីញឹក,"[ɲɨk ʔəy ɲɨk] [[ញឹក]] [[អី]] [[ញឹក]] <br>1). many times
ចំហៀវខ្លាញ់,"[cɑmhiəv klaɲ] [[ចំហៀវ]] [[ខ្លាញ់]] <br>1). to render lard / fat "
ស្រងាត់,"[srɑŋat] <br>1). See: ខៀវស្រងាត់ <br>2). adj to be melancholy
ចំហាតែពាក្យ,"[cɑmhaa tae piek] [[ចំហា]] [[តែ]] [[ពាក្យ]] <br>1). saying many words but making little sense "
តរៀងមក,"[tɑɑ riəŋ mɔɔk] [[ត]] [[រៀងមក]] <br>1). from then on
លាក់ការ,"[leak kaa] [[លាក់]] [[ការ]] <br>1). to keep (a) secret "
រត់ទៅ(លិច),"<br>1). to run away (to the West);<br> to flee to Thailand "
ក្រវេច,"[krɑvəc] <br>1). adj to be small;<br> cramped
ក្របីចំទើរ,"[krɑbəy cɑmtəə] [[ក្របី]] [[ចំទើរ]] <br>1). buffalo calf "
វល្លិ,"[voa
ធុងការ៉េមកី,"[tʰuŋ kaa reɛ mɔɔ kəy] [[ធុង]] [[កា]] [[រ៉េ]] [[ម]] [[កី]] <br>1). ice cream container "
បើកឆាក,"[baək cʰaak] [[បើក]] [[ឆាក]] <br>1). to begin / open a play "
សាលាដំបូង,"[saalaa dɑmbooŋ] [[សាលា]] [[ដំបូង]] <br>1). provincial court See: សាលាហុ​ "
រាជក្រឹត្យ,"[riec krət] [[រាជ]] [[ក្រឹត្យ]] <br>1). See: រាជកិច្ច "
ស្មត់,"[smɑt] <br>1). n ancient class of low-ranking officials "
ឈើអែម,"[cʰəə ʔaem] [[ឈើ]] [[អែម]] <br>1). licorice tree (Glycyrrhiza glabra;<br> the sweet bark is used in medicine) "
អ៊ឹកធឹក,"[ʔɨkkaʔtʰɨk] <br>1). adj to be spectacular / grandiose / tremendous / splendid
ពោល្យំ,"[poulyum] <br>1). n kind of small plant (Tieghemopanax fruticosus;<br> the pleasant-smelling leaves are used for perfuming and decoration;<br> the plant is also used medicinally and in religious rites) See: ពោរយំ "
បទគួរសម,"[bɑt kuə sɑɑ mɔɔ] [[បទ]] [[គួរសម]] <br>1). appropriate behavior "
រ៉េស៊ីដង់សុប៉េរីយើរ,"[reeziidɑŋ ------ ] [[រ៉េស៊ីដង់]] [[សុប៉េរីយើរ]] <br>1). resident superieur (highest-ranking French official in Cambodia during the time of the French protectorate) "
ភ្លើងរាល,"[pləəŋ riel] [[ភ្លើង]] [[រាល]] <br>1). spreading fire "
កើតទោស,"[kaət tooh] [[កើត]] [[ទោស]] <br>1). to have problems / troubles "
ដើរច្រប់,"[daə crɑp] [[ដើរ]] [[ច្រប់]] <br>1). to walk everywhere
បង់ពន្ធ,"[ដារ :: bɑŋ pʊən daa ] [[បង់]] [[ពន្ធ]] <br>1). to pay a tax / duty "
ដើរលបៗ,"<br>1). to walk quietly "
ប្រលានយន្តហោះ,"[prɑlaan yʊən hah] [[ប្រលាន]] [[យន្តហោះ]] <br>1). airport
នៅទីបញ្ចប់,"[nɨv tii bɑɲcɑp] [[នៅ]] [[ទី]] [[បញ្ចប់]] <br>1). finally<br>#..). finally
ការពិបាក,"[kaa piʔbaak] [[ការ]] [[ពិបាក]] <br>1). hard work
អង្សិកភណ្ឌ,"<br>1). See: អង្សភណ្ឌ "
ក្រដាសខាត់,"[krɑdaah kʰat] [[ក្រដាស]] [[ខាត់]] <br>1). sandpaper "
ត្រសក់ក្អែក,"[trɑsɑk kʔaek] [[ត្រសក់]] [[ក្អែក]] <br>1). kind of inedible cucumber used in medicine "
គ្រាប់អម្ពិល,"[kroap ʔɑmpɨl] [[គ្រាប់]] [[អម្ពិល]] <br>1a). tamarind seed. <br>1b). clitoris;<br> treenail / hinge pins on a ship "
កំពង់ទឹក,"[kɑmpʊəŋ tɨk] [[កំពង់]] [[ទឹក]] <br>1). landing (esp. a spot on a river where people bathe) "
សុបសៅ,"[sop - sav] <br>1a). v to hang the head;<br> to grieve
ពានត្រោកពានព្រៃ,"[pien traok pien prey] [[ពាន]] [[ត្រោក]] [[ពាន]] [[ព្រៃ]] <br>1). See: ពានត្រោកពានត្រាំង "
អំនួត,"[ʔɑmnuət] <br>1). n boasting
ជំនូត,"[cumnuut] <br>1). n wiping
ស្រករក្រោយ,"[srɑkɑɑ kraoy] [[ស្រករ]] [[ក្រោយ]] <br>1). next generation "
ត្រីភាគ,"[trəy pʰiek] [[ត្រី]] [[ភាគ]] <br>1). one third "
មួនទួន,"[muən tuən] [[មួន]] [[ទួន]] <br>1). to be resolute
រួមស្នេហា,"[ruəm snaehaa] [[រួម]] [[ស្នេហា]] <br>1). to love each other (of a man and woman) "
ធ្វើស្ម័គ្រសង្វាសនឹងគ្នា,"[tvəə smak sɑŋvaah~saŋvaah nɨŋ knie] [[ធ្វើស្ម័គ្រសង្វាស]] [[នឹងគ្នា]] <br>1). to have sexual intercourse "
រកស៊ី,"[rɔɔk sii] [[រក]] [[ស៊ី]] <br>1). to earn a living;<br> to start up a business "
អមរនិកាយ,"[ʔaʔmɑɑ niʔkaay] [[អមរ]] [[និកាយ]] <br>1). See: អមរនិករ "
ស្លាអី,"[slaa ʔəy] [[ស្លា]] [[អី]] <br>1). kind of vine with thick foliage grown for shade "
ខ្យងជាប់,"[kyɑɑŋ~kcɑɑŋ coap] [[ខ្យង]] [[ជាប់]] <br>1). giant sea-mussel "
ធ្វើការ,"[tvəə kaa] [[ធ្វើ]] [[ការ]] <br>1). to work
ថ្ពង់,"[tpʊəŋ] <br>1). v to organize
ជំនូន,"[cumnuun] <br>1). n present
ចំពាក់ឆ្វាក់,"[cɑmpeak cvak] [[ចំពាក់]] [[ឆ្វាក់]] <br>1). to be tangled (up)
រេប័ស,"[reipah] <br>1). adj to be low
ប្រមោយដំរី,"[prɑmaoy dɑmrəy] [[ប្រមោយ]] [[ដំរី]] <br>1). trunk of an elephant <br>2). kind of plant (Bolbitis Copelandii
ធំសំព្រោ,"[tʰom sɑmproo] [[ធំ]] [[សំព្រោ]] <br>1). to be large and swollen "
នគររាជ(ភ្លេង)ជាតិ,"<br>1). Royal Cambodian National Anthem "
ព្រះចេស្ដា,"[preah ceɛhsdaa] [[ព្រះ]] [[ចេស្ដា]] <br>1). power of a king "
និយាយផុយ,"[niʔyiey pʰoy] [[និយាយ]] [[ផុយ]] <br>1). to speak one's mind;<br> to speak without thinking
សេចក្តីនាំផ្លូវ,"[sackdǝy noam pləv] [[សេចក្តី]] [[នាំ]] [[ផ្លូវ]] <br>1). guide
កាំភ្លើងបង់ង,"[kampləəŋ bɑŋ ŋɔɔ] [[កាំភ្លើង]] [[បង់ង]] <br>1). AK-47 automatic assault rifle "
ជួបលើគ្រោះកាច,"[cuəp lǝǝ krʊək kaac] [[ជួប]] [[លើ]] [[គ្រោះកាច]] <br>1). to run into trouble "
ប្រជុំជើង,"[prɑcum cəəŋ] [[ប្រជុំ]] [[ជើង]] <br>1). to gather players (for a game)
មហាយុគ,"[meaʔhaa~mɔhaa yuk] [[មហា]] [[យុគ]] <br>1). the Great Period (the time that humans have existed
កោតបុណ្យកោតសក្ណិគេ,"[kaot bon kaot ------ ] [[កោត]] [[បុណ្យ]] [[កោត]] [[សក្ណិគេ]] <br>1). to fear someone's authority or position "
អទុរាគត,"[ʔaʔtuʔriekʊət] <br>1a). adj to have arrived easily / with no trouble. <br>1b). n one who has arrived without any trouble See: អទុរាគតា "
អាណិក,"[ʔaanək] <br>1). adj to be alien
មើលធ្លុះ,"[məəl tluh] [[មើល]] [[ធ្លុះ]] <br>1a). to see through. <br>1b). to understand completely
វេរភាព,"[vee pʰiep] [[វេរ]] [[ភាព]] <br>1). vengeance
ឃាំង,"[kʰeaŋ] <br>1). v to block
ដោតទង់,"[daot tʊəŋ] [[ដោត]] [[ទង់]] <br>1). to set up a flag (pole) "
ខេត្ត,"[kʰaet] <br>1). n province;<br> region
អាហារប្រអប់,"[ʔaahaa prɑʔɑp] [[អាហារ]] [[ប្រអប់]] <br>1). canned food "
ទំពែក,"<br>1). See: តំពែក "
នាមរូប,"[niem ruup] [[នាម]] [[រូប]] <br>1). individuality "
យកឈ្នះ,"[yɔɔ kɑɑ cneah] [[យក]] [[ឈ្នះ]] <br>1). to win
បរិវេណការពារ,"[bɑɑreʔveen kaa pie] [[បរិវេណ]] [[ការពារ]] <br>1). defense perimeter "
របៀងមុខ,"[rɔbiəŋ muk] [[របៀង]] [[មុខ]] <br>1). lobby
អាយុគ្រប់ការ,"[ʔaayuʔ krup kaa] [[អាយុ]] [[គ្រប់ការ]] <br>1). age of consent "
បំពោកថ្នាំ,"[bɑmpook tnam] [[បំពោក]] [[ថ្នាំ]] <br>1). to apply ointment / poultice "
រាជនីតិ,"[riec niiteʔ] [[រាជ]] [[នីតិ]] <br>1). rules by which a king should govern "
មិនគត់គូ,"[mɨn kʊət kuu] [[មិន]] [[គត់]] [[គូ]] <br>1). to be defective (of a pair) "
រំពឹង,"[rumpɨŋ] <br>1). v to depend (on);<br> to think (about)
ប្រយ័ត្នប្រយែង,"[prɑyat ------] [[ប្រយ័ត្ន]] [[ប្រយែង]] <br>1). to take all possible precautions
ទំលាប់ខ្លួន,"[------ kluən] [[ទំលាប់]] [[ខ្លួន]] <br>1). to accustom oneself
ចិត្តភាយលាយ,"[cət pʰiey liey] [[ចិត្ត]] [[ភាយលាយ]] <br>1). generosity "
សំដៅចំ,"[sɑmdav cɑm] [[សំដៅ]] [[ចំ]] <br>1). to aim right at "
ទទួលរាក់ទាក់,"[tɔtuəl reak teak] [[ទទួល]] [[រាក់]] [[ទាក់]] <br>1). to be cordial <br>#..). to extend a warm welcome "
កខ្លេះកខ្លោញ,"[kɑkleh - kɑklaoɲ] <br>1). adj to be careless
អាណិត,"[ʔaanət] <br>1a). v to pity
និយាយតិចៗ,"<br>1). to speak low
ទំនងការ,"[tumnɔɔŋ kaa] [[ទំនង]] [[ការ]] <br>1). method
សឹកប៉ប្លឹក,"[sǝk ------] [[សឹក]] [[ប៉ប្លឹក]] <br>1). to be thin
តតាក់តតុប,"[tɑtak - tɑtop] <br>1). adv hesitantly;<br> in a tongue-tied / stammering manner "
សំរាំង,"[sɑmraŋ] <br>1a). v to pick out
យុពា,"[yuʔpie] <br>1a). n young person. <br>1b). adj to be young See: យុវៈ "
ទង់ក្សត្រ,"[tʊəŋ ksat] [[ទង់]] [[ក្សត្រ]] <br>1). royal flag "
អានាបាណ,"[ʔaanaabaan] <br>1). n breathing
មោរៈ,"[moureaʔ] <br>1). n peacock "
អន្លាយ,"[ʔɑnlaay] <br>1). adj to be long and ropy (esp. of thick liquids such as the mucus discharge from the nose)
ងូងៗ,"[ŋuuŋ - ŋuuŋ] <br>1). i sound of humming
គោហ្ម,"[koo maa] [[គោ]] [[ហ្ម]] <br>1). See: គោម៉ "
ចោងហោង,"[caoŋ - haoŋ] <br>1). v to crouch down (with the knees bent and the buttocks resting on the backs of the ankles) See: អង្គុយចោងហោង "
កំឡា,"<br>1). See: កំលា "
សិទ្ឋិដាច់មុខ,"[settʰiʔ~sət dac muk] [[សិទ្ធិ]] [[ដាច់មុខ]] <br>1). exclusive right
វេទនា,"[veiteaʔnie] <br>1). n misery
រួចជាស្រេច,"[ruəc cie srac] [[រួច]] [[ជាស្រេច]] <br>1). to be finished as planned "
សូធ្យធម៌សង្កេត,"[soot tʰoa sɑŋkeɛt] [[សូធ្យធម៌]] [[សង្កេត]] <br>1). to intone / chant a prayer "
ចោរឃាត,"[cao kʰiet] [[ចោរ]] [[ឃាត]] <br>1). execution of thieves / bandits "
របៀង,"[rɔbieŋ] <br>1). n veranda
ចង្រក,"[cɑŋrɑɑk] <br>1). See: ចង្រៃចង្រក "
ព្រយោង,"<br>1). See: ព្រយឹតព្រយោង "
គួរណា,"[kuə naa] [[គួរ]] [[ណា]] <br>1). must
ម៉ោងបួន,"[maoŋ buən] <br>1). n kind of flower (Mirabilis Jalapa) "
បរទារ,"[paʔraʔtie] <br>1). n adulteress "
ធ្វើបាបស្ត្រី,"[tvəə baap strǝy] [[ធ្វើបាប]] [[ស្ត្រី]] <br>1). to commit a sex offense
អារកូដម័យ,"[ʔaaraʔkuut ------] [[អារកូដ]] [[Aម័យ]] <br>1). made of copper "
ជ្រើម,"[crəəm] <br>1a). adj to be in (constant) motion;<br> to be restless
ហត្ថពលិក,"[hat ------ ] [[ហត្ថ]] [[ពលិក]] <br>1). manpower
នាងខ្មៅ,"[nieŋ kmav] [[នាង]] [[ខ្មៅ]] <br>1). witch;<br> Black Lady (epithet of the Indian goddess Kali) <br>2). kind of bush (Microtropis discolor which grows in dense forests;<br> the roots are used to prepare medicines for digestive ailments);<br> kind of small tree (Chasalia curviflora;<br> the roots are used to prepare a tonic) See: ដើមនាងខ្មៅ <br>3). kind of tree (Dichroa febrifuga);<br> the roots are used to prepare medicines for kidney ailments See: ដើមនាងខ្មៅដើម <br>4). See: ស្រូវនាងខ្មៅ <br>5). slang word for opium used among drug dealers "
រថស្ទូច,"[rʊət stuuc] [[រថ]] [[ស្ទូច]] <br>1). crane See: ម៉ាស៊ីនស្ទូច "
មើលពីរត្រួស,"[məəl pii~pɨl truəh] [[មើល]] [[ពីរ]] [[ត្រួស]] <br>1). to read twice
វិក្រយគ្រឹះ,"<br>1). See: វិក្កយសាលា "
អជ្ឈុប្បាតបក្សី,"[ʔaccʰuppaataʔbaksəy] <br>1). n birds of prey
រង្គប់,"<br>1). See: អង្គប់ "
សន្ឋាៈរាត្រី,"<br>1). See: សន្ធិយារាត្រី "
កកែកករ,"[kɑkae - kɑkɑɑ] <br>1). v to babble (as a child learning to talk) "
និស្សារណា,"[nihsaareaʔnaa] <br>1). n extract
ប្លើកៗ,"[plaək - plaək] <br>1). adv lightly and quickly
ជ្រើស,"[crəəh] <br>1). v to choose
ទ្រង់ព្រះសវនីយ៍,"[trʊəŋ preah saʔvaʔnəy] [[ទ្រង់]] [[ព្រះ]] [[សវនីយ៍]] <br>1). to talk "
បំពង់សួត,"[bɑmpʊəŋ suǝt] [[បំពង់]] [[សួត]] <br>1). trachea "
មាតុប្រទេស,"[mietoʔ prɑteeh] [[មាតុ]] [[ប្រទេស]] <br>1). motherland
របៀន,"[rɔbien] <br>1). n knowledge (esp. of magic)
អ្នកដៃធូរ,"[neak day tʰuu] [[អ្នក]] [[ដៃ]] [[ធូរ]] <br>1). generous person "
របៀប,"[rɔbiep] <br>1). n method
អំពៅដៀប,"[ʔɑmpɨv diəp] [[អំពៅ]] [[ដៀប]] <br>1). kind of wild sugarcane "
រំយាក,"[rumyiek] <br>1). adj to be very old
វិសេសភាព,"[------ pʰiep] [[វិសេស]] [[ភាព]] <br>1). special quality / characteristic "
យកគ្នា,"[yɔɔ kɑɑ knie] [[យក]] [[គ្នា]] <br>1). to fornicate "
ក្ដោចក្ដែង,"<br>1). See: កណ្ដោចកណ្ដែង "
ខ្មាំងស៊ីរូងផ្ទៃក្នុង,"[kmaŋ sii ruuŋ ptey knoŋ] [[ខ្មាំង]] [[ស៊ីរូង]] [[ផ្ទៃក្នុង]] <br>1). mole (hidden spy) "
ទក្ខិណាវដ្ដ,"<br>1). See: ទក្ខិណាព័ត៌ "
វិញ្ញាសាសួរ,"[vɨɲɲiesaa suǝ] [[វិញ្ញាសា]] [[សួរ]] <br>1). oral examination "
ណឹង,"[nəŋ] <br>1). dem this See: ហ្នឹង "
គុយទាវ,"[kuy tiev] <br>1). n kind of noodle similar to spaghetti noodles;<br> noodle soup Chinese "
សំរង់,"[sɑmrɑŋ] <br>1). n abstract
សហកីឡា,"[saʔhaʔkəylaa] <br>1). n group / team sport "
ស្នៀត,"[sniet] <br>1). n wedge
ស្លាប់ចិត្ត,"[slap cət] [[ស្លាប់]] [[ចិត្ត]] <br>1). to be deeply in love "
ស្រពន់,"[srɑpʊən] <br>1). adj to be numbed
ទ្វិសប្តាហ៍,"[tviʔ ------ ] [[ទ្វិ]] [[សប្តាហ៍]] <br>1). biweekly publication;<br> appearing twice a week
ត្រូវក្បាលងោង,"[trəv kbaal ŋooŋ] [[ត្រូវ]] [[ក្បាល]] [[ងោង]] <br>1). to become confused from a blow on the head "
សំរាប់ត្រី,"[sɑmrap trəy] [[សំរាប់]] [[ត្រី]] <br>1). third class of royal ministers directly responsible to the crown prince "
ស៊ីវិល,"[siivɨl] <br>1). adj to be civilian
ព្រះទ្រហឹង,"[preah trɔhɨŋ] [[ព្រះ]] [[ទ្រហឹង]] <br>1). kind of plant "
សំប៉ែត,"[sɑmpaet] <br>1). adj to be flat
សន្ថាគារ,"<br>1). See: សណ្ឋាគារ "
វាយដែកគោល,"[viey~vay daek kool] [[វាយ]] [[ដែកគោល]] <br>1). to drive / hammer a nail "
ក្រពើអ្នកតា,"[krɑpəə neak taa] [[ក្រពើ]] [[អ្នកតា]] <br>1). crocodile believed to be found near the homes of spirits "
ដាក់ក្ដោងចុះ,"[dak kdaoŋ coh] [[ដាក់]] [[ក្ដោង]] [[ចុះ]] <br>1). to lower (or raise) the sails ពេលខ្យល់បក់​ខ្លាំង​ អ្នកប្រើទូកក្តោងដាក់ក្តោងចុះ When the wind blows hard
ជលបក្សី,"[cʊəl~ceaʔleaʔ baksəy] [[ជល]] [[បក្សី]] <br>1). generic name for aquatic birds "
